date,grand_prix_name,team_name,points,current_team_name,scorigami
1991-04-28,San Marino Grand Prix,McLaren,16.0,McLaren,1
1991-06-02,Canadian Grand Prix,Benetton,10.0,Alpine F1 Team,1
1991-06-02,Canadian Grand Prix,Jordan,5.0,Aston Martin,1
1991-06-16,Mexican Grand Prix,Jordan,3.0,Aston Martin,1
1991-06-16,Mexican Grand Prix,Williams,16.0,Williams,1
1991-07-07,French Grand Prix,Jordan,1.0,Aston Martin,1
1991-09-29,Spanish Grand Prix,Williams,14.0,Williams,1
1991-11-03,Australian Grand Prix,Benetton,1.5,Alpine F1 Team,1
1992-08-30,Belgian Grand Prix,Benetton,13.0,Alpine F1 Team,1
1993-03-14,South African Grand Prix,Sauber,2.0,Sauber,1
1993-03-28,Brazilian Grand Prix,Sauber,0.0,Sauber,1
1993-04-25,San Marino Grand Prix,Sauber,3.0,Sauber,1
1993-06-13,Canadian Grand Prix,Sauber,1.0,Sauber,1
1994-04-17,Pacific Grand Prix,Jordan,4.0,Aston Martin,1
1994-06-12,Canadian Grand Prix,Benetton,11.0,Alpine F1 Team,1
1994-07-03,French Grand Prix,Sauber,4.0,Sauber,1
1994-08-14,Hungarian Grand Prix,Benetton,14.0,Alpine F1 Team,1
1994-11-06,Japanese Grand Prix,Jordan,2.0,Aston Martin,1
1995-05-14,Spanish Grand Prix,Benetton,16.0,Alpine F1 Team,1
1995-06-11,Canadian Grand Prix,Jordan,10.0,Aston Martin,1
1995-09-10,Italian Grand Prix,Sauber,5.0,Sauber,1
1995-10-01,European Grand Prix,Benetton,12.0,Alpine F1 Team,1
1996-05-19,Monaco Grand Prix,Sauber,7.0,Sauber,1
1997-03-09,Australian Grand Prix,Stewart,0.0,Red Bull,1
1997-05-11,Monaco Grand Prix,Stewart,6.0,Red Bull,1
1997-08-24,Belgian Grand Prix,Jordan,6.0,Aston Martin,1
1998-05-10,Spanish Grand Prix,Stewart,2.0,Red Bull,1
1998-06-07,Canadian Grand Prix,Stewart,3.0,Red Bull,1
1998-06-28,French Grand Prix,Ferrari,16.0,Ferrari,1
1998-08-30,Belgian Grand Prix,Jordan,16.0,Aston Martin,1
1999-05-02,San Marino Grand Prix,Stewart,4.0,Red Bull,1
1999-09-26,European Grand Prix,Stewart,14.0,Red Bull,1
1999-10-17,Malaysian Grand Prix,Stewart,5.0,Red Bull,1
2000-03-26,Brazilian Grand Prix,Jordan,7.0,Aston Martin,1
2000-10-22,Malaysian Grand Prix,Jaguar,1.0,Red Bull,1
2003-06-29,European Grand Prix,Williams,18.0,Williams,1
2003-09-28,United States Grand Prix,Sauber,10.0,Sauber,1
2004-08-29,Belgian Grand Prix,Sauber,9.0,Sauber,1
2005-03-06,Australian Grand Prix,Red Bull,7.0,Red Bull,1
2005-06-19,United States Grand Prix,Jordan,11.0,Aston Martin,1
2005-06-19,United States Grand Prix,Minardi,7.0,RB F1 Team,1
2005-09-25,Brazilian Grand Prix,McLaren,18.0,McLaren,1
2006-03-19,Malaysian Grand Prix,Renault,18.0,Alpine F1 Team,1
2006-04-02,Australian Grand Prix,BMW Sauber,8.0,Sauber,1
2006-08-06,Hungarian Grand Prix,BMW Sauber,6.0,Sauber,1
2007-07-22,European Grand Prix,Red Bull,10.0,Red Bull,1
2007-10-07,Chinese Grand Prix,Toro Rosso,8.0,RB F1 Team,1
2008-03-23,Malaysian Grand Prix,BMW Sauber,11.0,Sauber,1
2008-05-25,Monaco Grand Prix,Toro Rosso,4.0,RB F1 Team,1
2008-06-08,Canadian Grand Prix,BMW Sauber,18.0,Sauber,1
2008-09-07,Belgian Grand Prix,Toro Rosso,6.0,RB F1 Team,1
2008-09-14,Italian Grand Prix,Toro Rosso,10.0,RB F1 Team,1
2008-11-02,Brazilian Grand Prix,Toro Rosso,5.0,RB F1 Team,1
2009-03-29,Australian Grand Prix,Brawn,18.0,Mercedes,1
2009-04-05,Malaysian Grand Prix,Red Bull,1.5,Red Bull,1
2009-04-05,Malaysian Grand Prix,Williams,0.5,Williams,1
2009-04-19,Chinese Grand Prix,Red Bull,18.0,Red Bull,1
